# Pathway	ERR1857004_Abundance	ERR1857005_Abundance	ERR1857006_Abundance	ERR1857007_Abundance	ERR1857008_Abundance	ERR1857009_Abundance	ERR1857010_Abundance	ERR1857011_Abundance	ERR1857012_Abundance	ERR1857013_Abundance	ERR1857014_Abundance	ERR1857015_Abundance	ERR1857016_Abundance	ERR1857017_Abundance	ERR1857018_Abundance	ERR1857019_Abundance	ERR1857020_Abundance	ERR1857021_Abundance	ERR1857022_Abundance	ERR1857023_Abundance	ERR1857024_Abundance	ERR1857025_Abundance	ERR1857026_Abundance	ERR1857027_Abundance	ERR1857028_Abundance	ERR1857029_Abundance	ERR1857030_Abundance	ERR1857031_Abundance	ERR1857032_Abundance	ERR1857033_Abundance	ERR1857034_Abundance	ERR1857035_Abundance	ERR1857036_Abundance	ERR1857037_Abundance	ERR1857038_Abundance	ERR1857039_Abundance	ERR1857040_Abundance	ERR1857041_Abundance	ERR1857042_Abundance	ERR1857043_Abundance	ERR1857044_Abundance	ERR1857045_Abundance	ERR1857046_Abundance	ERR1857047_Abundance	ERR1857048_Abundance	ERR1857049_Abundance	ERR1857050_Abundance	ERR1857051_Abundance	ERR1857052_Abundance	ERR1857053_Abundance	ERR1857054_Abundance	ERR1857055_Abundance	ERR1857056_Abundance	ERR1857057_Abundance	ERR1857058_Abundance	ERR1857059_Abundance	ERR1857060_Abundance	ERR1857061_Abundance	ERR1857062_Abundance	ERR1857063_Abundance	ERR1857064_Abundance	ERR1857065_Abundance	ERR1857066_Abundance	ERR1857067_Abundance	ERR1857068_Abundance	ERR1857069_Abundance	ERR1857070_Abundance	ERR1857071_Abundance	ERR1857072_Abundance	ERR1857073_Abundance	ERR1857074_Abundance	ERR1857075_Abundance	ERR1857076_Abundance
UNMAPPED	1692449.1532088919	3876931.8574199206	1137254.9686907420	1613570.0281539932	2135787.1138328249	2978646.4898771755	1845983.8472669304	2274000.2860151613	2126946.7259403858	6047721.9054427305	2377320.1671055998	1941838.7469073678	3332529.7042116383	2646128.5816440443	2992858.9526270139	1929239.9640710296	2099263.6813603542	2971085.9251697701	1705547.8803143594	1626531.9912830023	2709257.0831447155	2171101.3053325233	2487919.4203617829	3062855.0586055480	2338014.6424937290	5259800.9227697169	2296162.2196557578	2457634.1814699131	2915212.7835495784	2415190.1138836681	3450444.9422984542	3051131.6456394792	3146457.3524144916	3421687.2141282223	1877771.3329031451	2329235.5095533994	2291414.0924572754	3410645.1669701911	2108736.0181407826	3028505.6816742267	2198575.4509639223	3100623.8891191562	1640544.2664207087	3481790.3764786883	3222895.2903349437	3034140.7250360930	2990325.0518796840	3042144.4480613060	2765734.2644614344	2699391.3875007201	3749298.4330707258	2548043.0872859680	2692615.6620040797	4280959.4618554879	2985545.2829101766	3742743.4848054764	4089272.6163246753	3805143.2875519642	3854933.2488278374	883624.9154827116	3458035.7939157533	3398568.9353608522	2806512.7404694804	2802075.8713752474	3668938.9693811066	3025485.4826089274	1389091.6979146549	2184759.1657978771	2884796.0758787286	5345833.8054545391	3696209.6328966068	3904840.2662429526	3563999.1525397305
UNINTEGRATED	8166609.4462239426	24296508.5544564016	3860000.6089332853	8961625.5997454580	9625532.1924160197	9110793.6745924074	9711927.7858364452	7891529.6791098397	6523148.3239483219	12740160.1368128527	9660669.0863520987	8583038.5409336761	12685233.9397021271	9587882.5949307363	8931600.8743218016	7838192.5101122390	8999534.4237740226	10295909.1271335930	8285915.9155070428	10853914.6449734960	10414011.2326205000	9802523.3956569117	15342117.9893785901	12161696.2361317482	7867279.2930004802	15446650.7253164686	8758735.6051238254	10087053.5965707283	13591053.4966024738	6402867.2008408373	14724997.7438179106	13641404.0635678265	13480973.3603432570	9991676.0839594193	8064013.6812351728	9225858.1287664063	10539307.0874231625	14046305.0928773116	9085488.0700546782	15181487.1970035676	11066115.2290505543	9068232.6189269405	6150029.7246050816	11072302.7675768845	10161463.3554766383	9515174.8579632994	11401945.3384151924	11318516.3735417333	7985639.6055778712	11561167.3301189132	8785924.3721203879	11101622.9334530886	11886433.6373203173	12331209.5109620858	7670025.7843884844	16342069.7728741616	14262152.8934521843	17202450.4199197181	14383473.5986304097	2865228.9217864634	13679319.3401281238	13246547.3654352184	10164461.3375753183	11360214.1386160664	13368790.0270372368	10270994.6087838411	5458247.7177826371	8044496.1258105785	10049539.9065992199	16443249.8452567328	11048198.5565314982	13780268.0632931869	12671072.4685038980
1CMET2-PWY: folate transformations III (E. coli)	3481.7463607772	8841.0608852153	2121.0003281008	3063.0919654435	5226.7059233825	4085.2708249303	4954.9812492087	4658.0204918554	3932.3213191178	8955.6328608971	6021.8748801449	4524.6948889978	7092.9143176236	5246.2497149404	5180.7701232299	4289.1397007843	4776.2135223604	6943.2493040456	4886.7351136633	2387.9021932207	5829.8903143789	4221.5657463566	9284.7684245864	8005.5535873660	4522.1154391545	8811.5859292981	4412.4593520385	5040.8370658257	6960.5365239165	4036.6907377663	8220.8674468877	7689.5309950117	6359.2210032386	6199.4250284776	4921.4133822278	4724.7948045968	5451.4613258221	7251.6945359575	5533.6437731551	8400.7600525506	4194.8270890703	5842.6414439076	3998.2164700219	6266.0148924298	5745.6368810800	6711.7732910451	6255.3243952343	4880.4102798125	4369.4389653433	6341.4257976744	5432.2812113869	4679.7640459680	4796.0970045634	7563.5489066216	5544.5905243550	10040.6270692486	8746.7615465918	9093.9904296090	8832.0474173037	1108.8589911910	7280.3323199940	7643.4183322715	5689.6151985336	7733.6208724257	7982.7410671657	7073.0904904110	2351.7622259926	4660.0557103200	5415.0661104023	9020.1380683152	6788.8106404414	7096.9759184280	7006.0884009003
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	8.7605636394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.1009800132	0	0	0	0	0	0	0	43.7826886099	0	0	0	0	99.2668614236	0	0	142.5554435194	0	0	0	95.0696280224	0	0	0	0	0	0	0	34.0506307352	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	1618.7762923804	0	0	0	13.1893508609	0	0	0	0	0	0	0	0	0	23.9483575239	0	0	0	0	0	0	70.7348283595	80.4989803018	0	0	0	0	0	0	0	0	0	29.9515443202	0	0	17.1028240066	0	0	0	0	0	0	0	0	0	0	36.8243800495	0	0	0	347.1061109978	0	0	0	0	0	50.3129447394	9.3654263198	0	0	0	0	0	0	0	0	0	0	39.5350556126	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	496.0132007242	48.7369743668	0	29.8214660966	85.2191082510	0	59.0659236246	19.9927891973	0	0	75.3785749907	23.0000283321	34.9082551371	0	128.3274472055	0	94.8597167254	0	0	0	21.7400061552	0	109.8652274398	45.7205879539	0	45.2869163516	0	0	94.8033608159	0	0	0	0	0	0	25.9665219361	0	0	42.5796386612	0	19.7875046671	19.2102525521	0	83.7084162845	0	0	95.0633285187	0	0	0	101.7879938400	0	0	0	97.1721236292	0	33.3028470440	85.9573992317	0	43.7786472090	0	23.4418629886	0	50.7720639807	0	0	65.2532745221	0	111.9508871741	0	0	24.8072671101
ANAEROFRUCAT-PWY: homolactic fermentation	1986.0518101912	7973.8845765198	864.8890547123	1407.7998813480	2973.2890592488	3242.7605455655	2817.7097428652	1900.1062282002	1742.6973784469	2103.8547757383	1962.2155721819	2174.6962016375	2219.9856783296	2250.8767528362	1800.6967841157	1461.6839788360	2731.3234441268	2043.0006373559	2148.8338721939	1358.8582532984	3095.5700070710	1592.6775860354	2892.1122904158	3050.3070337837	3176.5456479849	4284.3622491462	1560.7998875894	3072.6819036552	3485.6658880873	964.8242282624	3961.9095828620	4810.4049077100	3178.6057737448	1911.9847952891	1895.2262772953	1608.4028828483	2967.4730444293	5422.0406257468	2206.7710645436	5105.3775773298	1550.1441108585	671.0128492760	1046.9570302629	2143.4759634753	2649.9017759408	2905.3403985115	2166.2762543384	3245.9885864180	1831.8406070968	3179.3577111349	1677.3810387654	3929.7786063785	1529.7723072820	3051.9771399229	1755.0813763603	3110.3994510246	4099.6515545512	6291.0166661033	4038.1667446999	959.3133770874	4603.6798376075	3987.5649503059	1889.8540970775	2036.8631327495	4431.3840483910	1501.2102334176	986.1367579720	1476.8780552402	1568.9870265454	4637.8982290328	2113.7178826658	5545.6807757787	3160.4937297213
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	4973.6148015758	10105.8718254631	2639.5797914195	5263.6345598430	5273.1874753174	4679.6548594071	4712.6858452233	5523.5396916324	4279.3581525660	9059.4090103905	5788.1245874715	5154.4101277956	9408.7037163935	4666.0508288645	6189.9860886276	3658.4738421191	5412.7674517604	7199.0795945509	4804.5101920765	6271.1739822339	5601.2701843993	5264.2128665743	7000.7444640922	7297.7847769716	4465.8592601828	12294.8211073255	4793.2349022507	5232.9000222071	7104.3489126800	4110.9220406533	8078.3201593275	9401.5966768530	7796.6017257334	7618.1944307425	5650.0299045151	4972.4465841637	5480.0364245547	9403.8473123625	6550.7830685697	8531.9497577030	6883.1876697099	4308.5477350978	4302.1506278810	8323.2339038383	7287.8617072679	7027.5697943837	8778.5243939534	6117.3215475397	4959.2029570670	6628.8547711090	6078.3856059342	5520.3822569528	6877.6089628468	8074.2044296007	5013.2099058710	9184.4062669825	8304.4282834058	9658.5359828155	8252.4727432991	1350.1065530198	8201.2418063593	8695.9366659179	6198.5971170656	6770.0089811831	8849.8908758477	6890.1258149778	3273.4687015043	5473.1515736105	4547.2635921736	10841.4433974255	7787.0735833757	8171.9807615513	8476.0143318185
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	143.4893462434	6240.8573764723	306.1933407535	503.7104458951	125.5245563565	1209.5769461327	648.9424804761	1380.4732020916	342.6232924891	1462.0349807542	937.6294319633	397.0455314988	1517.6803251994	887.7478696705	1129.0676982619	1136.3413388711	102.9545602632	952.5609021366	660.7319179528	55.8552607453	164.8057462895	442.8667322623	667.3016231736	1668.7410949500	411.9378106717	1342.2776345650	728.7720436638	185.9925847604	593.2201414867	653.8413752010	806.5911385704	2400.1692620405	1046.4215355463	758.1479856030	785.5067601012	303.7188591289	1197.0782082217	898.5768950944	242.9295532526	2248.5442575141	585.0256399168	160.1552848139	450.3553575627	1981.5730764023	1798.4171446561	906.7658400786	455.8511002535	2878.3334495421	426.1131053216	720.6812782720	976.5217951812	3061.6666128773	445.7205977180	1552.3036807335	887.2485706681	814.2638556468	642.2561302956	1148.2324012365	1235.6416177368	599.3342264984	2382.1125188394	671.7288957799	307.2308989341	449.8218065056	592.6890444358	996.6282762449	498.6726081316	1405.8670495543	712.0273569838	1283.4255894376	1459.1021869452	1400.6905257511	798.5977471692
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	0	18.3468668982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.8430792987	0	23.1516747067	0	0	0	0	0	0	0	0	0	10.9306994302	0	0	0	25.5891903834	0	13.5850044478	0	0	0	0	0	0	0	96.6142960554	0	0	0	164.1240426820	0	0	0	0	0	0	0	63.5632285415	519.9714619837	0	0	0	0	0	0	0	0	35.7476115100	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	943.0399450329	5511.3021786722	929.6800543091	1246.1554319991	3542.6549048630	1737.4524892493	3642.0077436021	753.1033606104	776.5514546164	1022.1380977430	3922.7763886618	2707.1930759501	1351.3911287120	2826.9060546987	2377.7912949202	2760.2245100216	2863.5455218483	2205.0060635647	3892.4315989014	306.7494208961	4040.5626655820	2126.0154962735	6950.9009994033	3941.2445917368	3345.9508609856	1185.1496630275	2197.3589332597	3061.5454164387	4190.5475919744	2057.0370549401	4805.5977291320	1717.5950449997	3404.8087020743	1780.3418646768	2742.2081169874	2294.6116522909	3219.4193002219	3893.0421608702	2191.7607306102	5716.7642469521	1695.1429138440	2108.1071577714	2548.9263662854	1643.9672152648	518.9809990497	4156.1780116795	1776.0489426088	1094.8634337929	739.0646468258	3578.0100388245	1052.6514706582	1839.7630949287	1208.7490215131	3561.6174974327	1699.5423282391	4271.7296966123	5976.5904681788	5672.9429570702	5171.0849971313	546.6464525123	3979.3413594892	4245.6427081502	2117.9978816594	5618.5397051611	4773.9496190330	2390.8142854605	434.3820159723	1655.2339003111	1839.3428552795	4238.2394395443	3238.4080882946	1712.9450636933	3537.3696029251
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	2974.7441698529	9246.5058637935	2622.7231505726	1877.5848211282	2904.0070864637	4641.7809084712	2979.8575749355	5880.2019997211	4480.6646178726	7473.0993667291	4407.6791502615	4817.8041710718	8732.6171340526	3280.0652258942	4933.4342011882	3442.6248795950	4385.4625240222	5571.9753480299	2213.0312944018	1535.2165177214	4425.0209127953	2420.0154859908	2093.8290893274	6132.3816855341	3856.5489965426	12724.4569255357	3744.1804705621	3705.7523838589	5066.5237317057	3070.2851756378	6411.0667922774	8775.8417585686	5200.9039985980	7103.0746446471	4901.0918628209	4541.4834173835	3460.5634517299	7373.0648924817	5617.5726198321	5927.9189624673	3351.5227179589	3908.1243532592	3505.3923192917	7996.7628347353	6438.6634783683	3698.5438436904	7810.6526570637	5895.7720882532	4627.3482338079	4893.7283238645	6267.7760395907	5654.6811976821	5002.7300740829	6017.8157835803	5012.1514209593	7122.6853846812	5712.0543893685	4956.4771385140	6280.1621873344	899.5662871513	6539.9971142115	6553.1372487733	5597.9977622183	5068.4163289181	5956.2277617971	6899.6159825846	1958.5686241495	5338.2001496803	3779.6612171974	7727.1371486036	6349.6132291443	7890.9878457728	7632.0274809277
