sample_name	unclassified_proportion	classified_proportion	unclassified_reads	classified_reads
ERR1857004	27.7583	72.2417	3534128	9197644
ERR1857005	21.928	78.072	5333395	18988906
ERR1857006	36.2836	63.7164	2742069	4815252
ERR1857007	23.2695	76.7305	3432963	11320109
ERR1857008	23.1238	76.8762	3951534	13137045
ERR1857009	42.7091	57.2909	6853056	9192828
ERR1857010	18.4372	81.5628	2929789	12960880
ERR1857011	45.4971	54.5029	6800001	8146018
ERR1857012	42.0856	57.9144	5309106	7305918
ERR1857013	71.8146	28.1854	23991605	9416107
ERR1857014	44.8861	55.1139	8255825	10136998
ERR1857015	28.1606	71.8394	4253196	10850157
ERR1857016	36.7504	63.2496	8387788	14435886
ERR1857017	43.7813	56.2187	7934332	10188337
ERR1857018	40.7637	59.2363	7131991	10363944
ERR1857019	30.7619	69.2381	4199659	9452484
ERR1857020	28.4506	71.5494	4524672	11378950
ERR1857021	38.0591	61.9409	7370731	11995811
ERR1857022	27.7612	72.2388	4297369	11182416
ERR1857023	15.9491	84.0509	2742767	14454224
ERR1857024	17.6496	82.3504	3566202	16639343
ERR1857025	28.9319	71.0681	4569008	11223293
ERR1857026	8.1405	91.8595	2225713	25115352
ERR1857027	47.1255	52.8745	10949835	12285650
ERR1857028	33.5716	66.4284	5289623	10466607
ERR1857029	52.2268	47.7732	16872743	15433941
ERR1857030	41.0437	58.9563	6403037	9197499
ERR1857031	36.2551	63.7449	7002169	12311436
ERR1857032	31.8917	68.1083	7470906	15954985
ERR1857033	64.0619	35.9381	10125451	5680278
ERR1857034	23.5189	76.4811	6257105	20347436
ERR1857035	23.0858	76.9142	4988631	16620440
ERR1857036	23.3576	76.6424	5030820	16507433
ERR1857037	53.4872	46.5128	11690773	10166354
ERR1857038	32.6714	67.3286	4694464	9674246
ERR1857039	32.3592	67.6408	5140783	10745820
ERR1857040	22.4442	77.5558	3871259	13377093
ERR1857041	24.6717	75.3283	5859556	17890572
ERR1857042	34.5712	65.4288	5663654	10718922
ERR1857043	15.8815	84.1185	3822719	20247518
ERR1857044	22.1002	77.8998	4004069	14113730
ERR1857045	51.2357	48.7643	9875174	9398840
ERR1857046	49.4866	50.5134	6116017	6242927
ERR1857047	48.4345	51.5655	10473425	11150463
ERR1857048	51.7092	48.2908	8933889	8343298
ERR1857049	37.9699	62.0301	7414232	12112394
ERR1857050	35.4239	64.5761	7315441	13335719
ERR1857051	38.7516	61.2484	6448827	10192620
ERR1857052	43.582	56.418	6824728	8834794
ERR1857053	28.1788	71.8212	5782665	14738645
ERR1857054	58.7244	41.2756	11823243	8310188
ERR1857055	30.0571	69.9429	4220291	9820627
ERR1857056	30.0893	69.9107	5852735	13598501
ERR1857057	36.9872	63.0128	9179882	15639202
ERR1857058	65.1763	34.8237	11784668	6296557
ERR1857059	39.1333	60.8667	11624071	18079713
ERR1857060	26.1606	73.8394	7431165	20974747
ERR1857061	22.7406	77.2594	6858709	23301986
ERR1857062	27.5347	72.4653	7605722	20016569
ERR1857063	25.2357	74.7643	977341	2895504
ERR1857064	29.2517	70.7483	6239442	15090737
ERR1857065	42.2396	57.7604	10415466	14242568
ERR1857066	45.7485	54.2515	9184911	10892066
ERR1857067	48.5807	51.4193	11099901	11748459
ERR1857068	35.4236	64.5764	9144140	16669574
ERR1857069	46.9767	53.0233	9790124	11050255
ERR1857070	33.0414	66.9586	2966190	6011012
ERR1857071	38.483	61.517	5705839	9121063
ERR1857072	47.1087	52.8913	8545676	9594661
ERR1857073	43.5986	56.4014	14504744	18764118
ERR1857074	53.086	46.914	12155076	10741882
ERR1857075	32.4978	67.5022	7562410	15708137
ERR1857076	44.1809	55.8191	10557003	13337924
