clade_name	ERR1857004	ERR1857005	ERR1857006	ERR1857007	ERR1857008	ERR1857009	ERR1857010	ERR1857011	ERR1857012	ERR1857013	ERR1857014	ERR1857015	ERR1857016	ERR1857017	ERR1857018	ERR1857019	ERR1857020	ERR1857021	ERR1857022	ERR1857023	ERR1857024	ERR1857025	ERR1857026	ERR1857027	ERR1857028	ERR1857029	ERR1857030	ERR1857031	ERR1857032	ERR1857033	ERR1857034	ERR1857035	ERR1857036	ERR1857037	ERR1857038	ERR1857039	ERR1857040	ERR1857041	ERR1857042	ERR1857043	ERR1857044	ERR1857045	ERR1857046	ERR1857047	ERR1857048	ERR1857049	ERR1857050	ERR1857051	ERR1857052	ERR1857053	ERR1857054	ERR1857055	ERR1857056	ERR1857057	ERR1857058	ERR1857059	ERR1857060	ERR1857061	ERR1857062	ERR1857063	ERR1857064	ERR1857065	ERR1857066	ERR1857067	ERR1857068	ERR1857069	ERR1857070	ERR1857071	ERR1857072	ERR1857073	ERR1857074	ERR1857075	ERR1857076
UNCLASSIFIED	13.2812	22.73068	19.46995	14.64401	18.9431	25.46427	15.4063	21.14628	20.45629	18.60637	24.45827	21.31958	23.2629	21.92321	18.42284	16.69631	18.80869	18.02835	17.8074	15.03434	16.24135	19.68673	22.83837	19.94903	21.06379	21.6245	22.88244	17.26572	20.87033	16.96535	13.65812	13.63819	19.15038	16.21277	13.20918	21.42691	14.0719	13.11621	19.71919	11.31097	16.40257	20.00929	20.79115	17.15712	16.38195	8.89957	20.0188	20.17005	22.79189	24.96831	16.11918	21.95073	24.02542	19.92677	17.33224	16.6442	19.55565	16.5734	19.74584	15.28563	14.59132	19.75238	17.16942	17.93905	21.29716	18.78245	15.97326	16.66316	20.23067	17.05405	20.28969	17.99764	21.16729
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella_copri	33.12058	2.21699	0.18665	52.55559	0.01971	0.00215	0.00737	6.33707	0.81659	0.0	0.0105	0.02684	0.15223	0.01016	0.05367	0.00637	0.03982	0.01413	0.0488	69.47638	0.00092	34.68753	0.0	0.00128	0.01242	0.0	17.59874	0.0	0.0	0.0	0.0	0.00568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	41.9001	4.32707	0.01737	0.0338	4.48817	0.01059	0.00419	8.17263	1.67797	0.00029	0.0	0.09755	28.56561	0.00457	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164	0.00095	29.5962	0.0	16.43565	0.00298	0.0	0.08112	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	4.92357	1.85867	0.00795	0.0	0.0	0.0	3.05486	0.0	0.0	0.0	0.0	0.0343	0.00518	0.00498	0.0	0.0	0.0	0.18323	0.0	3.911	1.7471	0.68708	0.0	0.0	1.52433	0.0	0.0	0.0015	0.98463	0.00482	3.11114	0.0	0.00328	0.00797	0.0	0.0	0.14068	1.0723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40761	0.0	0.71336	0.0	0.0	0.00291	0.0	0.0	0.0	2.32871	0.0	2.13786	0.0	0.14523	0.00957	1.89713	0.0811	0.00119	0.58588	0.0	0.0	0.0	0.0	0.50039	0.0	0.0	0.6328
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	4.55361	3.27816	11.79433	2.02346	2.60939	1.23522	3.39926	5.83869	4.78623	0.84519	3.76134	5.93817	8.99187	1.30551	1.37079	0.0	4.73327	0.99318	2.53711	0.56424	4.02869	2.7432	0.00066	4.06785	4.2161	7.28993	3.07212	2.42403	4.18125	2.84843	5.15106	2.01682	4.13694	3.45484	4.41436	7.08442	0.59584	1.87588	5.36927	2.08506	1.56492	1.78337	4.87833	4.90353	3.37026	0.0	5.37584	2.37544	2.11424	5.89706	1.26052	4.58483	4.6598	0.51069	3.2485	1.49691	5.22158	0.22939	0.00192	2.12723	2.56426	3.40213	2.77847	2.82537	2.69938	5.86319	3.54729	5.22519	2.37125	0.83473	2.89599	3.57276	4.55173
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	3.47351	0.00315	0.25629	0.0	0.26872	0.0	5.19847	0.0	0.20738	0.00016	0.0	0.78769	0.73316	0.17391	0.54075	0.0	0.00137	0.07821	0.00038	0.0	0.0	0.5159	0.00184	0.0	0.27533	0.60959	0.0	0.14979	6.41009	0.02069	17.53447	0.04177	11.10314	0.00225	0.0251	0.04486	2.41016	0.0094	0.01837	0.00059	0.00703	0.12228	0.12373	0.04747	0.00113	0.00065	2.21483	0.84675	0.08857	4.34899	0.00285	0.00614	0.09584	0.07574	0.07	0.46989	0.02759	6.77685	1.72621	11.66016	12.4482	0.37326	0.99956	0.0	0.06295	1.08813	0.13435	0.00158	0.01771	1.77847	0.07226	0.22325	0.38104
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6612|s__GGB6612_SGB9346	3.07805	0.0	1.1836	0.0	0.0	0.0	0.0	0.0	0.0	0.06865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.02081	0.0	0.0	0.98542	0.0	0.0	0.0	0.0	0.58338	0.0	7.49641	0.0	0.02331	0.00121	0.0	0.0	0.00303	0.63605	0.04662	0.08564	0.0	0.2287	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Simiaoa|s__Simiaoa_sunii	1.90064	0.03943	0.0	0.0	0.30034	0.07191	0.0	0.08086	0.04052	0.0041	0.35732	0.06174	1.11709	0.0915	0.0	0.0	0.0	0.01756	0.0	0.0	0.02082	0.07131	0.0	0.10438	0.01499	0.10394	0.2799	0.46877	0.00216	0.35481	0.27931	0.0	0.0	0.02408	0.0	0.0	0.00617	0.0	0.0	0.0	2.27463	0.21948	0.12447	1.09425	0.04938	0.0	0.00404	0.97092	0.07144	0.05359	0.03101	0.00332	0.01117	0.0	3.18915	0.00445	0.0856	0.0	0.0	0.0	0.0	0.00269	0.84604	0.01656	0.61486	0.02157	0.03393	0.1987	0.09901	0.21599	0.05566	0.35715	0.08488
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	1.68082	0.83187	0.83304	0.51863	2.83904	0.24974	0.39147	0.21878	0.39226	0.03455	0.46227	0.15377	1.50385	0.66812	1.51505	0.0	0.34484	0.4356	0.80781	0.02654	0.0	0.73876	4.41626	0.50066	0.87387	0.1382	0.2226	0.11932	0.82713	0.08826	0.33991	3.08343	0.71552	0.17076	0.31478	0.83933	0.97059	0.0	0.0	1.64099	0.30561	0.03556	0.29134	0.10439	0.1293	1.9583	0.54936	0.40924	0.25563	2.74051	0.19921	5.27751	0.24043	3.27371	0.03806	0.61685	1.84629	3.55981	1.2812	3.27977	0.28125	0.13197	0.69331	0.75383	3.5526	0.26009	0.62999	0.46446	0.35734	0.47798	0.28222	0.29982	0.78246
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	1.44303	2.50928	0.03446	0.0	0.0	0.0	0.0	0.22833	1.1965	0.0	0.0487	0.00088	0.03286	1.34424	4.7175	0.0	0.22241	0.00029	0.3286	0.0	0.0	0.02298	0.00157	0.13206	0.0	0.72923	0.0	0.1213	0.37326	0.06239	7.60396	2.45059	1.69596	0.0	0.12797	1.11413	0.0	0.0	1.22064	2.23393	0.41514	0.01143	0.06955	0.02023	0.0057	0.00887	0.01776	0.03322	0.06687	0.0	0.0	9.55497	0.24375	0.23799	0.4906	0.27158	0.34008	0.14153	4.26107	0.02952	0.1596	2.60073	0.09259	0.0	0.13419	0.01832	0.04095	0.09181	0.04699	1.77056	0.07206	4.31341	0.26146
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687|s__GGB47687_SGB2286	1.32209	0.0	0.0	0.29287	0.0	0.0	0.0	0.0	0.0	0.00062	0.0054	0.0	0.07138	0.0	1.13282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15545	0.0	0.0	0.01304	0.0	0.0	0.0	0.0	0.0	0.0	0.17168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07877	0.0	0.0	0.0	0.0	0.94413	0.0	0.0	0.54668	0.81403	0.08941	0.0	0.0	0.90591	0.0	2.007	1.22708	1.41746	0.0	1.16006	0.00318	0.0	0.0	0.0	0.37568
