# Pathway	ERR6910909_genefamilies_ko_Abundance	ERR6910910_genefamilies_ko_Abundance	ERR6910911_genefamilies_ko_Abundance	ERR6910912_genefamilies_ko_Abundance	ERR6910913_genefamilies_ko_Abundance	ERR6910918_genefamilies_ko_Abundance	ERR6910919_genefamilies_ko_Abundance	ERR6910920_genefamilies_ko_Abundance	ERR6910921_genefamilies_ko_Abundance	ERR6910922_genefamilies_ko_Abundance	ERR6910923_genefamilies_ko_Abundance	ERR6910924_genefamilies_ko_Abundance	ERR6910925_genefamilies_ko_Abundance	ERR6910926_genefamilies_ko_Abundance	ERR6910927_genefamilies_ko_Abundance	ERR6910928_genefamilies_ko_Abundance	ERR6910929_genefamilies_ko_Abundance	ERR6910930_genefamilies_ko_Abundance	ERR6910931_genefamilies_ko_Abundance	ERR6910932_genefamilies_ko_Abundance	ERR6910933_genefamilies_ko_Abundance	ERR6910934_genefamilies_ko_Abundance	ERR6910936_genefamilies_ko_Abundance	ERR6910937_genefamilies_ko_Abundance	ERR6910938_genefamilies_ko_Abundance	ERR6910939_genefamilies_ko_Abundance	ERR6910940_genefamilies_ko_Abundance	ERR6910941_genefamilies_ko_Abundance	ERR6910942_genefamilies_ko_Abundance	ERR6910943_genefamilies_ko_Abundance	ERR6910945_genefamilies_ko_Abundance	ERR6910948_genefamilies_ko_Abundance	ERR6910950_genefamilies_ko_Abundance	ERR6910952_genefamilies_ko_Abundance	ERR6910953_genefamilies_ko_Abundance	ERR6910955_genefamilies_ko_Abundance	ERR6910956_genefamilies_ko_Abundance	ERR6910957_genefamilies_ko_Abundance	ERR6910958_genefamilies_ko_Abundance	ERR6910959_genefamilies_ko_Abundance	ERR6910960_genefamilies_ko_Abundance	ERR6910961_genefamilies_ko_Abundance	ERR6910962_genefamilies_ko_Abundance	ERR6910963_genefamilies_ko_Abundance	ERR6910964_genefamilies_ko_Abundance	ERR6910965_genefamilies_ko_Abundance	ERR6910966_genefamilies_ko_Abundance	ERR6910967_genefamilies_ko_Abundance	ERR6910968_genefamilies_ko_Abundance	ERR6910969_genefamilies_ko_Abundance	ERR6910970_genefamilies_ko_Abundance	ERR6910971_genefamilies_ko_Abundance	ERR6910972_genefamilies_ko_Abundance	ERR6910973_genefamilies_ko_Abundance	ERR6910974_genefamilies_ko_Abundance	ERR6910975_genefamilies_ko_Abundance	ERR6910976_genefamilies_ko_Abundance	ERR6910977_genefamilies_ko_Abundance	ERR6910978_genefamilies_ko_Abundance	ERR6910979_genefamilies_ko_Abundance	ERR6910980_genefamilies_ko_Abundance	ERR6910981_genefamilies_ko_Abundance	ERR6910982_genefamilies_ko_Abundance	ERR6910983_genefamilies_ko_Abundance	ERR6910984_genefamilies_ko_Abundance	ERR6910985_genefamilies_ko_Abundance	ERR6910986_genefamilies_ko_Abundance	ERR6910987_genefamilies_ko_Abundance	ERR6910988_genefamilies_ko_Abundance	ERR6910989_genefamilies_ko_Abundance	ERR6910990_genefamilies_ko_Abundance	ERR6910991_genefamilies_ko_Abundance	ERR6910992_genefamilies_ko_Abundance	ERR6910993_genefamilies_ko_Abundance	ERR6910994_genefamilies_ko_Abundance	ERR6910995_genefamilies_ko_Abundance	ERR6910996_genefamilies_ko_Abundance	ERR6910997_genefamilies_ko_Abundance	ERR6910998_genefamilies_ko_Abundance	ERR6910999_genefamilies_ko_Abundance	ERR6911000_genefamilies_ko_Abundance	ERR6911001_genefamilies_ko_Abundance	ERR6911002_genefamilies_ko_Abundance	ERR6911003_genefamilies_ko_Abundance	ERR6911004_genefamilies_ko_Abundance	ERR6911005_genefamilies_ko_Abundance	ERR6911008_genefamilies_ko_Abundance	ERR6911009_genefamilies_ko_Abundance	ERR6911010_genefamilies_ko_Abundance	ERR6911011_genefamilies_ko_Abundance	ERR6911012_genefamilies_ko_Abundance	ERR6911013_genefamilies_ko_Abundance	ERR6911014_genefamilies_ko_Abundance	ERR6911015_genefamilies_ko_Abundance	ERR6911016_genefamilies_ko_Abundance
UNMAPPED	246664.1581002504	179304.3695869585	185754.4711492545	222168.0245670234	168899.7916141618	198188.4462000732	185214.8865919004	218507.4496419122	204879.6264074290	223145.9634551209	230307.6653521678	188815.0844230180	170170.4598715536	186958.2320119285	175575.2066349187	154308.4096223937	168386.0281842714	215418.2762613975	170613.5378238593	201907.5652367039	188664.5650859680	222567.9406967204	186378.7601235560	135209.6027042927	172139.5464627209	162429.9947060993	172539.9076444199	232501.8117369298	165133.2854803051	172818.3462249648	207828.0499457153	205614.9180459828	155217.6770230014	153395.3487158476	169162.2831473242	151525.4026554021	245630.6269531218	175884.9805866732	241122.0870179308	163459.7956359506	145219.8443125675	202487.8608070462	278642.7647849488	279343.5090631519	207652.7675360899	218849.3998213420	174058.7575538073	160907.8559067352	240388.7982152362	233560.9739049131	143822.4956782007	438600.7173136045	380908.5240465983	377441.0885031004	145322.2553796067	154913.8902362420	182736.4809367214	182021.9779041549	205789.8089719007	161651.4999810397	194867.7503990438	190960.8971945526	196122.3041754258	163606.0493299838	180070.0281844663	177409.4483046845	264241.2458454818	229191.8422544728	201423.2394237080	152985.0386066060	180291.9809473969	212469.7620811280	231057.2752363397	188117.1616950472	213963.9913216239	184456.0874910490	164936.4392911444	144756.7193689620	291115.7536910502	212421.0364374079	178931.7687706247	149167.0361419294	175041.5392566046	126907.8494255832	210579.1637761380	167628.4248901998	205093.1607545972	192221.1144942730	244581.1140065338	176151.5144372869	189428.4901191211	170621.5890343221	186749.8531866467	191069.8299681478	235303.3072892921
UNINTEGRATED	959271.2717397471	667396.4130971308	843964.5160088663	1005078.2504282135	619327.3795074726	903018.1626070883	775584.7757085150	883063.2853734787	1018324.7580747085	667302.5430460644	885882.2821540134	940164.2729104955	799382.5412832696	952314.6095607788	706745.4158832104	661827.9859518259	792229.1275002803	888344.4429782460	600054.5332489442	879525.0989898290	728546.4939104281	953949.5713120577	627529.4453186123	568327.7642895951	729681.0670187074	689695.9013646438	678735.5830078030	838107.7037653739	720146.6815403581	843495.5934237853	820636.1681903963	857371.2019433143	659173.7094646550	673329.7115997501	682979.6952113049	584792.0598311885	886925.0944102168	930598.9147890760	1138499.5653734680	786881.1066750910	693365.9843738242	845564.6898192352	972119.4856755369	1621550.4864248252	1007088.7524935503	1166936.5589280827	708378.2753443486	684404.3725225450	1062670.1302257080	1061892.4730739808	591975.9940664322	1396169.3820092350	1340598.1578865293	1514547.2135041510	750103.6992203959	636473.6532000976	826481.5866604381	951040.8218455036	936104.9972921979	713594.4122973367	943090.0917868431	659760.5670342562	891392.9124351745	740449.2957651671	609228.4661702827	783104.5361763001	920549.5080385950	1017005.3614579416	709404.4422426737	625512.3776029042	890868.7999730621	725428.8369635912	883617.4847245471	678577.2078574857	949014.9446697043	812404.8019062530	970651.1271810388	609210.3346916713	1257223.0520143365	899128.3885818790	680822.5494102503	697973.8276989206	654110.9899625244	662118.4552764151	765445.7804566022	790158.1418705599	722611.2080401784	883481.8630570534	933813.9121880350	845793.9525781797	635272.1059176405	685317.7343802266	839080.4981874888	789479.6860521084	996546.5612696394
ko00010: Glycolysis / Gluconeogenesis	494.6698587145	0	0	745.0103160571	0	679.1278750972	0	1482.1108414802	0	0	0	0	0	494.1331122850	0	439.6536447228	0	532.1621766282	0	0	0	860.7102637378	0	0	0	0	0	553.1437193027	0	791.5946235196	531.9909985761	397.8556896155	0	0	0	0	612.1434556618	480.4504249812	711.5440464970	0	0	519.7339503980	563.7452654514	0	0	834.5583152988	0	0	0	0	0	933.2882010267	1011.5183005167	1323.6299069510	0	0	567.4894174520	735.8018862398	0	547.4612528034	842.5852543061	381.5385371573	0	0	0	0	495.6097362276	483.3096755392	0	0	1191.5129496615	0	689.6479139355	384.6933396809	0	0	0	0	616.5704338292	0	450.7255024612	0	0	526.5850873729	393.0416034780	384.0007806856	359.6514318057	372.3067852629	0	853.1346228567	0	0	0	0	509.4405170524
ko00020: Citrate cycle (TCA cycle)	395.6413393578	0	0	448.6601721756	0	266.9846386670	0	156.3520696454	279.4821192948	412.8056920537	0	514.2214694973	0	348.9466865790	0	0	0	345.0794450688	244.2190474323	0	0	373.9541249849	0	0	0	0	0	308.5278035557	0	370.1113160053	281.8439659044	310.8080704527	0	0	0	0	363.9982107783	0	468.1455503523	369.8037979290	0	364.9260357462	428.1056375662	0	348.2355906456	693.5963968892	0	0	0	722.0923010782	0	668.1309586068	533.6920482776	782.6834495281	0	0	480.3808208802	361.8960395901	0	0	754.9681651955	238.5839520753	0	0	0	0	302.2116980089	0	0	368.4108008057	0	0	376.8611879988	239.4822601699	484.1828689889	0	0	0	474.7002558461	220.5002852814	0	0	0	411.1099735515	234.8655447124	279.9633070446	259.1034507386	275.3284003980	230.4465908054	673.4703996232	0	0	0	0	348.6477756612
ko00040: Pentose and glucuronate interconversions	0	0	266.1696575945	436.6736908236	0	176.8008818034	0	0	0	208.8095840345	0	228.8201997499	296.9044127071	262.0084007362	0	0	0	0	0	0	0	257.5400415747	0	0	0	269.0457024426	0	0	270.8317297656	270.3722335038	0	195.5685254440	0	0	0	0	0	254.4326895285	347.8605884800	0	0	232.8783544291	0	0	0	455.7381374166	0	0	367.9433562278	0	0	0	0	0	0	0	0	0	0	0	349.1275522822	0	350.4689241191	312.9018697724	121.9511159465	0	0	0	0	0	635.7395714022	0	0	0	0	257.8065945630	0	0	342.3851039522	128.0961195970	0	0	0	0	0	121.5199269931	0	0	0	613.2598475526	0	0	0	0	0
ko00051: Fructose and mannose metabolism	299.8944065185	453.1299963703	582.7366181285	500.1412688874	187.0520537061	0	334.5636102306	1011.7650994069	218.4395205394	347.8729812335	368.5060442100	389.1414936261	314.7758524176	335.5966889931	296.2904494171	266.2888090007	440.8103362408	367.6568681434	186.8865187538	436.1906517335	350.3649881735	592.9419874467	195.7966747167	226.3746381869	310.9992353338	395.5029730804	278.3582527010	340.7105793538	423.5311676636	0	331.6489632760	240.7339715261	354.9649518657	371.8457315217	0	200.5711710054	364.2537306285	246.7981434122	450.2349424261	0	464.1789013656	326.6218467529	375.6954280725	347.6728383970	319.0224956934	589.1411442777	269.6546320124	1022.9090938568	471.8642932117	564.7067870202	317.6597200241	642.4145151038	508.7199605052	816.4451324682	523.5103443464	328.9389704057	397.3049231280	418.4443618358	517.1535510767	381.8141229792	591.3753135035	185.8393114106	501.4838018983	411.4763152255	275.4194625711	541.1360675397	240.3950108205	295.1969651331	310.8136835534	331.6883729629	683.4135813494	395.2696374449	393.4141035222	259.8662079953	408.6891769434	480.5385160806	291.6738938096	279.3063774505	420.9322328374	297.4553911784	0	407.1757887534	349.7993627832	390.5529951755	235.0162061017	219.4604389803	216.2340253380	0	352.6648970434	0	247.1755794764	397.2200618287	509.0709288155	457.5945011587	322.8731060288
ko00052: Galactose metabolism	399.9105100576	878.2523135951	965.9919677559	572.9794537438	370.4258029738	741.6214374656	523.3728246337	1587.1926155572	391.2315118475	448.6039982327	598.9431089414	587.2004753100	420.9483097658	543.1831362949	467.0026036864	425.1509789913	778.3945223645	493.0144344568	294.8319472143	676.9306681317	488.0412962574	795.2826310988	373.1296321818	382.0428882075	524.8204583881	356.9694115413	483.4554571138	490.4497299395	537.8800549246	640.9187465573	572.6335420854	459.2941694594	477.2233410157	553.1696419820	445.1302298884	360.7431214752	520.5686716499	416.4327743489	711.5431005240	456.8685793179	578.4066730974	400.0539913208	499.3736007657	570.4301863265	452.6324512936	665.3532069407	435.4572707796	1161.6255274732	650.2724120800	822.1236724570	452.0173222989	1115.8647980948	931.1311902511	1218.3939606874	734.1783869896	565.7256697330	809.7102164233	573.8926469252	819.5603255122	616.9388639398	682.1565982225	242.9773952421	793.0398308302	583.8487759595	411.5529964267	633.9647263245	305.4384464994	377.1207483325	402.6788252416	503.4907284408	976.5918464607	744.0697285990	507.3375699356	385.9433087116	706.4859555931	534.4555091268	500.4001105553	397.7748953765	665.3649679928	442.4831719469	508.4433564606	503.7337423188	527.3371543797	502.0319412889	370.6447636090	368.6650472005	370.4422667646	365.0737249149	569.4667985612	676.2443843429	405.9061744819	586.9671251909	614.6686426020	606.7973216064	484.3219060553
ko00061: Fatty acid biosynthesis	0	0	852.5391161153	0	0	0	0	912.2641720074	0	0	0	0	0	0	0	0	0	0	275.6087143960	0	0	690.4414837036	0	0	0	0	0	0	0	839.9596806713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689.2788735009	0	0	0	0	0	0	975.0805712243	0	0	0	263.0510897891	0	0	0	0	0	819.1186106330	0	0	0	0	0	429.8175843582	0	0	0	0	0	0	0	0	0	0	0	0	0	473.9707518095	479.6424245681	0	310.3506495351	0	294.7063578358	0	0	0	0	0	0	0
ko00121: Secondary bile acid biosynthesis	111.2236950334	87.6464384167	125.3854386594	89.6387211055	36.8590058416	112.7446190596	89.0345755499	1055.6202548773	0	0	114.1434337808	79.5535074435	194.7193553332	97.8695151666	68.8032411848	85.7102193617	155.5042720873	128.3111743448	0	96.0867127668	0	161.7976408487	0	0	0	205.3318510224	0	100.7818943965	85.5028337414	76.8833327935	72.8520593135	91.7689796115	58.6460398015	0	0	0	146.0599674764	49.9003517419	146.4552990696	66.4514808459	226.8635760910	72.9915314311	78.2500204232	0	103.5306842642	435.8998628991	75.2489873765	0	169.1703671937	143.3166524298	83.2491754640	204.6230551013	0	177.1010587310	116.5732770443	137.8609684363	37.0629839579	121.1975300007	66.4704126230	0	119.3050738264	25.9472414007	93.0224466440	112.6997683302	63.3058606575	178.6108210010	35.2552149615	94.9818994238	77.2661486368	0	134.7440727595	0	0	0	131.3719570458	160.7768594556	83.0971094717	44.7537567014	89.3223499563	74.7760882207	102.5058864317	0	108.1262363379	200.7667302814	71.8522995004	140.8908967683	66.3899910330	138.4979008203	109.4338466377	165.6997795279	0	84.9277714119	146.4847084817	0	85.1847296523
ko00130: Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.8498385120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3091500223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
