# Pathway	ERR6910909_Abundance	ERR6910910_Abundance	ERR6910911_Abundance	ERR6910912_Abundance	ERR6910913_Abundance	ERR6910918_Abundance	ERR6910919_Abundance	ERR6910920_Abundance	ERR6910921_Abundance	ERR6910922_Abundance	ERR6910923_Abundance	ERR6910924_Abundance	ERR6910925_Abundance	ERR6910926_Abundance	ERR6910927_Abundance	ERR6910928_Abundance	ERR6910929_Abundance	ERR6910930_Abundance	ERR6910931_Abundance	ERR6910932_Abundance	ERR6910933_Abundance	ERR6910934_Abundance	ERR6910936_Abundance	ERR6910937_Abundance	ERR6910938_Abundance	ERR6910939_Abundance	ERR6910940_Abundance	ERR6910941_Abundance	ERR6910942_Abundance	ERR6910943_Abundance	ERR6910945_Abundance	ERR6910948_Abundance	ERR6910950_Abundance	ERR6910952_Abundance	ERR6910953_Abundance	ERR6910955_Abundance	ERR6910956_Abundance	ERR6910957_Abundance	ERR6910958_Abundance	ERR6910959_Abundance	ERR6910960_Abundance	ERR6910961_Abundance	ERR6910962_Abundance	ERR6910963_Abundance	ERR6910964_Abundance	ERR6910965_Abundance	ERR6910966_Abundance	ERR6910967_Abundance	ERR6910968_Abundance	ERR6910969_Abundance	ERR6910970_Abundance	ERR6910971_Abundance	ERR6910972_Abundance	ERR6910973_Abundance	ERR6910974_Abundance	ERR6910975_Abundance	ERR6910976_Abundance	ERR6910977_Abundance	ERR6910978_Abundance	ERR6910979_Abundance	ERR6910980_Abundance	ERR6910981_Abundance	ERR6910982_Abundance	ERR6910983_Abundance	ERR6910984_Abundance	ERR6910985_Abundance	ERR6910986_Abundance	ERR6910987_Abundance	ERR6910988_Abundance	ERR6910989_Abundance	ERR6910990_Abundance	ERR6910991_Abundance	ERR6910992_Abundance	ERR6910993_Abundance	ERR6910994_Abundance	ERR6910995_Abundance	ERR6910996_Abundance	ERR6910997_Abundance	ERR6910998_Abundance	ERR6910999_Abundance	ERR6911000_Abundance	ERR6911001_Abundance	ERR6911002_Abundance	ERR6911003_Abundance	ERR6911004_Abundance	ERR6911005_Abundance	ERR6911008_Abundance	ERR6911009_Abundance	ERR6911010_Abundance	ERR6911011_Abundance	ERR6911012_Abundance	ERR6911013_Abundance	ERR6911014_Abundance	ERR6911015_Abundance	ERR6911016_Abundance
UNMAPPED	2806984.3093003933	2912146.5102203530	2672255.1199519564	3351313.2357869553	2750982.7096707136	2725352.8391879434	2884522.3580908724	2970594.9871096034	3043966.3029380222	3334058.3068742934	3154875.8863531882	2423184.9961737287	2627515.8358771121	2537586.0185933122	2798279.6152228033	2338940.6513363216	2677888.1384754460	2797043.3030618085	2652609.9798339326	3185171.8893848201	3052991.9311737567	3240080.8251855718	2895174.9452274381	2285134.3633804410	2832109.5983190527	2734851.4864699589	2612879.8441580506	2977628.6646014270	2906448.8786535356	2566510.7639925266	2889518.1799107781	2903033.0141305211	2324453.1695414851	2494864.7021588371	2675295.7802213668	2440093.4637529049	3079493.1613127477	2834039.7464821180	2782747.7656968529	2380798.0892205159	2551936.4125207714	2934176.3303939472	3104485.3210295001	4320468.3353889296	2842834.2838962106	2825432.1795763280	2633583.3765014927	2898469.8757499708	3589659.9351594099	3189612.4191230554	2519829.5940661072	5319434.5449019233	5516824.8297094135	4899222.5033193417	2464143.8057719464	2436742.7549321675	2535419.5919800662	3048860.6763721388	3411547.6843533111	2838476.2123883241	2560130.8469916577	2625436.9741308936	2886343.6106744129	2628302.7897308990	2704695.5286969710	2850024.5916315159	3454379.6402850635	3261837.4397973293	2945064.2374907658	2654119.0642544581	2937241.7535847775	3566868.3435533829	3162213.3252512980	2537907.4393234085	3051163.7723281044	3033044.7155208755	2666093.7478384161	2636150.4841350368	3521747.4881544337	2666423.6690662373	2708303.4724886459	2873720.8265160173	2630881.0404778086	1915248.4034052913	2925688.4585458906	2314714.2723918846	2808512.2222117297	2523218.2764517837	3378479.7404232901	2507837.6472408250	2921411.1179810748	2804564.2338090860	2898975.8133622436	2962859.1077610315	3270981.9841893539
UNINTEGRATED	10532689.2017645445	10476214.0030283649	11779573.8026720416	14735860.3557449430	9701894.6986407656	12112718.2965891622	11634729.0251366720	12097248.4499710929	14615238.5415264200	9613372.5052655339	11760726.4015773926	11769908.4015914351	12009434.9200459067	12459924.3546426613	10872490.0618632473	9668335.1410998572	12365404.5154053848	11069229.5027489476	8985619.9253228642	13496214.9284288660	11475819.1193425003	13531874.9405337032	9266129.8745965529	9138504.0433750134	11572727.9128460940	11320597.1638727076	9984608.2890799399	10412000.3537258171	12306919.9669270460	12217648.7505155895	10953429.6160994396	11653255.3071141299	9585740.5326752234	10567893.2657094263	10421216.0440230742	8970259.5753241107	10881385.8868434187	14571259.5212605316	12754640.6218571458	11129418.4637107011	11897781.2650440913	11838913.1337941904	10498577.6812243424	24153765.2325665057	13359874.5478506908	14761953.0945627540	10306386.2316823732	12423891.4673983399	15398441.2765565664	14137983.6324308813	10022592.0431021564	16095469.4648908749	18560057.0002269000	19013659.8403796777	12399104.5301587153	9717644.8081481308	10963024.6256550532	15455178.9092235118	15068665.7583388221	12070126.2121329680	12093898.9189967569	8777202.3174885735	12765402.4483755659	11540048.1182904877	8748676.7680237442	12252700.3766100276	11633807.2300151493	13835425.6943678297	9995130.4192708582	10530392.8136850167	14351413.2185472678	11625614.3040871993	11726452.2082670499	8794820.8625679351	13031410.9068452287	13042516.7753478754	15250487.3143698666	10666975.2613030039	14558351.9349399284	10870477.3683154322	9847955.4500165731	13089796.7190172113	9484042.2444240041	9761958.9322268721	10175829.9748674128	10453036.2826588396	9540755.4977220912	11080531.4422343522	12502235.1572068725	11838147.5544630345	9437641.9053042289	10849802.2224420849	12603216.7774572913	11983403.5679323431	13350908.6117698699
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	3.8792463675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.3355787522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	5591.0019650629	5796.1986154047	6714.0626071888	5640.5988559883	5151.6180574498	7261.1246423970	6113.8410767045	4999.2470695147	6825.6914744969	5173.9411291345	6050.4617766534	6573.2224662137	5390.8877683514	5626.8403195024	6236.7971042578	5428.0471727665	6037.2556113937	6568.6649701751	4538.0094223473	6283.5408773126	5426.4393340987	6698.8320929665	5268.4524653986	5488.1849580509	6323.2367770510	5606.0607667436	5386.1828724783	5370.1151995256	6694.2322715116	6583.1205190804	5647.7314044361	6310.0372261213	5505.2712207040	6568.9653651993	5876.8703291416	5030.2418206211	5018.4136357956	6033.6234633797	6413.2906343150	6076.2574573985	6366.6697777284	4854.3936587103	5489.3599453767	9480.1197053328	6036.0344715367	6748.4633381997	6048.6077830488	6037.9607121767	7624.9405580492	7805.5802239247	5640.6943912345	11082.6213879917	9721.2856279808	10641.0647807334	6253.3384864471	4966.4546065632	7293.6765215241	6415.4577532429	7839.1253338439	6988.1985449274	6855.3666345015	4252.3438563332	6329.6869566597	5885.5820985182	6086.8283405438	6336.3995702275	5607.0406379471	7749.2383983923	5790.3538874198	5342.0649963444	5924.4193807353	6541.4071088539	5812.3713291570	5045.2041520797	6522.1815689965	6813.0350731008	5286.1257696621	5819.6176417890	7433.5891597533	5657.4000992598	6258.6920897326	6923.4998863354	5301.9513381179	4250.6530776932	6102.4544095124	6668.6584897192	4854.7730142598	7185.8672968450	6048.1576448845	6339.3875312696	4083.9842156433	6448.4675323398	6707.0604078438	5799.3361962031	5989.2875456250
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3.8586905074	0	0	341.2774962418	0	0	0	0	5.8832479293	0	0	0	0	71.7967188179	0	0	0	10.9070396451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0812749723	0	0	0	0	0	0	0	0	7.2823810175	0	0	0	0	0	0	0	0	0	104.2771561329	0	0	0	0	0	0	0	0	22.2334714755	0	0	0	0	1.1832190077	90.3630978190	0	0	0	0	0	9.6143267223	0	0	0	0	0	0	0	0	0	0	22.6951371571	4.7230323194	0	6.4873869453	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	5.9602454953	0	0	0	0	0	0	0	0	0	0	0	0	0	28.1270815346	0	0	0	0	0	0	0	7.2095617619	0	37.9484326322	0	0	0	0	106.5879695630	0	4.3630002604	64.9690025703	0	0	0	0	0	0	0	0	0	0	0	8.0681411020	0	0	0	0	41.3836005870	424.2879558785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4072935833	0	0	0	0	17.2942917793	0	0	0	0	114.3921611350	0	0	0	0	0	0	0	0	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.6609471394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	16.7337546031	0	0	701.2384928429	20.0285103092	15.9581318636	0	62.5389403878	12.3331360156	18.4597665945	7.7350373985	0	0	0	32.0991756243	0	68.2340737020	69.5762813416	53.0158531301	0	16.0329488267	109.2673319876	0	0	0	0	111.0098381267	5.2583365381	0	23.4616500825	148.5793005755	80.0066477561	32.2488131718	116.6614508710	0	28.8416204563	142.3314321584	47.2554512605	41.0823662516	85.3005992038	103.7371372631	317.0723112761	90.7968730060	0	0	22.9530221226	75.9971909575	0	0	65.8855370440	49.3922406228	0	333.8705811127	50.4096969258	0	0	28.2534415397	100.8991804481	91.6055384347	0	83.2522240099	52.0993405738	0	58.1566817737	0	33.5832694072	135.9673856317	0	28.5604131593	32.2783384850	0	0	60.9298587396	34.1156089305	94.0848485100	0	44.4971085439	0	0	11.9505339167	10.7087485467	0	0	25.6280827770	104.4339430516	23.2764117194	34.8585727975	24.4323390731	16.5119049384	18.5151061374	0	0	0	83.6613591941	0
ANAEROFRUCAT-PWY: homolactic fermentation	1739.1383332470	3279.4509985158	2058.2523117806	4889.0923519262	1894.8747265340	4588.3937950771	2243.3996556103	6776.3222916794	1213.0479699134	2502.4172263143	4389.6105340156	1875.4631705962	1863.5949259656	1936.2205852551	3184.5497468960	1313.6584210694	4013.5181072062	2945.4253573969	2638.3723543083	4371.5025179770	3868.3401193240	5160.6866245766	1581.4053135780	1435.3128712202	2956.5075984987	3195.3845637990	2258.6201521788	4257.3326665216	4415.9746079818	5013.6795539124	3441.2532523620	1871.3427041827	2081.6516211881	4257.3401804363	1781.1306915287	3531.1735493785	4330.9062118255	4225.9449223085	4274.3472504051	2731.7224001228	2593.4667010139	3865.6298887736	3282.5449270910	2459.8089332999	3337.2052963123	2489.9765312572	2828.5013950563	6980.5911086449	3082.6572982759	3018.2585366310	2585.9203848832	2543.3551632145	7723.3932888754	7002.9383817260	1721.1080466569	2474.8829485463	2246.4470517574	6151.8020131792	4880.3326908790	2880.9127265029	2957.0091957257	2557.2022961700	4710.9671302494	3341.0222720534	1572.7069567872	2307.3728093416	3463.6581052944	3267.1296369621	1905.7286402729	2763.9949822668	6692.1974665581	2152.4370590871	3739.8352575572	2188.3960664151	3186.7317526050	4788.4829887483	2652.6066470542	2228.7986110478	3340.9418248589	3569.8522836461	1876.6501430037	3981.9299314519	2223.1093850430	2450.3432721112	2458.5693103552	2015.2599899607	1841.3969077790	2362.8248500761	5577.1581966182	4224.2809604465	2681.9559898840	4285.4987409058	3468.5064793995	4902.2428328080	3912.6887350148
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	7154.2783514426	7842.3093951438	9049.1432056091	6972.1724666478	6938.2113528653	8082.0941967889	7738.1473359948	8972.2520535209	7985.3661859521	6966.4557534369	8533.5711229101	8161.7767647033	6123.4982023381	7604.2337368754	7111.5746214051	7053.8708506722	7955.1395946072	7365.1752907943	5700.3653987754	8195.1262941384	6401.3147319698	8133.0330279371	6748.8078562576	7139.0238165374	7850.2229876344	6529.6746863833	6791.6473342602	7008.7791873386	7445.3692469247	8112.5601163346	7505.4609541363	7202.5528279956	6318.7792181836	7514.0593689565	6929.6358758234	6668.9060361429	5754.2644059625	7382.4291458708	7616.6615841104	7001.6189976051	7153.6970343225	6484.2040350373	6019.1906436659	14260.4328515296	6488.4099836382	6690.5072378001	7267.2488029321	8597.8109999883	9347.1787557496	8471.3722265604	6783.4286251490	14377.3142264458	12563.3766967438	13763.8317721573	7367.0738337635	6324.2412689679	8497.6304588742	7958.3753713871	9596.4601607071	8673.1725123798	7215.2249101885	4776.9348048129	8122.1032712380	6721.5889224053	6480.6847448595	7415.7929133365	6103.1546954530	9753.9968086043	6348.6041698024	6346.1747855479	8911.7726189209	9756.8721111100	7725.6169017489	6118.4824207428	9027.1520278480	8002.6912218853	8017.7918986036	6983.3627377862	9922.5191050633	7680.3232310515	8258.0125056351	7565.3988014672	6501.4436605473	4923.1061425935	6544.9089072149	8070.9709836937	5945.6498700854	8488.2364823597	8049.1937979537	7538.5154361922	6616.0695151077	7751.7443307263	8360.6701021820	6948.8846532080	7304.3767030940
