clade_name	ERR6910909	ERR6910910	ERR6910918	ERR6910923	ERR6910925	ERR6910926	ERR6910933	ERR6910937	ERR6910938	ERR6910945	ERR6910952	ERR6910955	ERR6910960	ERR6910967	ERR6910971	ERR6910974	ERR6910975	ERR6910978	ERR6910980	ERR6910981	ERR6910984	ERR6910985	ERR6910988	ERR6910991	ERR6910994	ERR6910996	ERR6910997	ERR6911009	ERR6911010	ERR6911011	ERR6911012	ERR6911013	ERR6910912	ERR6910920	ERR6910921	ERR6910929	ERR6910934	ERR6910940	ERR6910911	ERR6910913	ERR6910919	ERR6910922	ERR6910924	ERR6910927	ERR6910928	ERR6910930	ERR6910931	ERR6910932	ERR6910936	ERR6910939	ERR6910948	ERR6910956	ERR6910957	ERR6910958	ERR6910959	ERR6910961	ERR6910965	ERR6910966	ERR6910969	ERR6910970	ERR6910972	ERR6910973	ERR6910976	ERR6910977	ERR6910982	ERR6910987	ERR6910989	ERR6910998	ERR6911000	ERR6911001	ERR6911004	ERR6911008	ERR6911014	ERR6910941	ERR6910942	ERR6910943	ERR6910950	ERR6910953	ERR6910962	ERR6910963	ERR6910964	ERR6910968	ERR6910979	ERR6910983	ERR6910986	ERR6910990	ERR6910992	ERR6910993	ERR6910995	ERR6910999	ERR6911002	ERR6911003	ERR6911005	ERR6911015	ERR6911016
UNCLASSIFIED	14.83489	17.43537	15.90438	13.95258	15.61281	19.37234	10.81311	15.45635	11.52476	16.59975	22.52767	17.35452	16.61666	16.27471	12.58969	15.71674	13.0279	17.31678	11.80719	9.97604	12.21338	13.72929	17.50986	23.02586	17.20427	14.30759	15.84565	12.40882	14.44561	11.0118	15.99169	13.92755	12.71867	24.19979	16.16025	19.31953	18.61641	15.61476	14.11447	14.23561	16.31249	14.49997	14.30848	15.76203	14.7012	14.35141	12.69639	13.95684	19.93164	15.02667	16.47036	16.7866	14.12204	11.77681	7.66103	10.6325	11.25976	13.94841	11.48502	14.55835	17.003	12.88687	16.0126	14.99992	16.17206	11.98276	10.55443	15.21734	15.24006	17.13763	13.75447	15.815	13.93246	15.00256	15.75926	11.2339	13.40184	20.44363	17.1335	14.81054	14.7056	13.37791	15.49291	12.35284	9.74787	12.98206	9.80428	13.36297	14.05373	16.82219	16.40233	15.17342	11.79997	13.77732	15.57064
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii	6.53955	0.00069	0.00401	22.66633	0.0	0.00651	1.06726	7.41277	2.84051	12.76751	1.6141	22.55328	1.78298	6.44399	6.66086	0.0	9.38494	0.0	5.22159	4.33242	11.00626	0.0108	2.37977	19.92241	0.0	4.50814	3.31536	6.65855	6.47983	0.0	3.56374	0.86221	4.51809	0.0	0.17804	8.0916	2.59657	11.13022	0.00352	1.1006	5.94867	9.80858	0.00527	3.22171	5.91423	0.00449	6.50554	0.00107	6.57028	0.18889	0.0	2.6753	0.0	5.3549	0.0	3.02097	0.20838	6.24714	11.51747	1.32667	1.30135	3.29527	0.0	0.0	11.52031	17.09497	4.20625	6.29954	21.56049	0.04432	0.00515	4.28278	0.00255	1.73586	0.06812	0.00487	5.34275	0.0	0.64952	1.73645	0.78082	2.55605	4.07132	0.0	4.39531	2.15984	6.37181	3.59994	0.0	15.66289	2.03182	0.0	5.6559	1.42125	9.28067
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	5.81449	1.22114	0.0	1.24212	9.81829	11.8467	5.77957	6.19706	2.89943	1.6929	5.09556	1.82542	0.26776	2.87473	7.01525	7.90755	5.05504	8.22618	0.0	2.09932	0.4343	3.27681	0.65744	0.00932	14.54947	5.37114	6.10014	4.73338	0.75463	9.95339	3.2809	3.66532	4.35607	0.29369	3.9319	4.98359	5.63868	3.30761	7.99686	4.67414	5.77209	1.39085	4.37238	3.5692	5.73791	4.94915	5.21917	6.01483	3.99214	0.0	2.52638	3.00793	3.89142	1.66434	0.57365	3.17097	0.0	1.98792	2.18267	5.42743	5.97731	5.34765	0.09452	3.69242	5.96345	1.62737	3.26839	10.78241	0.2579	6.3183	3.64639	2.85981	7.64333	4.70206	2.8385	3.61751	1.96129	8.67074	0.94966	4.51521	5.5739	5.35218	5.22344	5.61013	1.67892	6.69238	1.56676	1.58907	2.61677	1.77778	1.25872	4.75555	5.39553	3.55656	3.22787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	5.02252	0.14459	6.06595	6.36075	0.0	0.82565	0.82159	0.56814	2.87549	5.90995	2.99332	0.86823	2.90562	2.38852	3.9489	9.31679	2.62867	3.71315	2.31851	1.14085	0.62362	0.36912	0.29288	0.07208	1.48384	4.04169	0.57629	5.5588	0.00995	0.00128	3.91753	0.95134	0.45972	0.91579	0.04139	12.20005	0.00259	9.91057	5.46514	9.36737	1.84536	0.0414	25.73874	1.262	8.51942	1.44026	0.83097	3.71612	1.07321	0.0	3.13805	0.0	1.79863	4.02542	23.82454	1.95383	1.31179	0.17599	12.00132	4.2129	2.27239	5.42405	2.46127	0.00172	7.23851	0.93234	5.88756	0.0	0.91095	1.83855	0.40062	2.2962	4.35344	1.11749	0.13055	9.51749	10.03343	12.07859	0.11247	0.78643	0.89441	2.07879	4.18679	0.21875	1.04372	1.53426	5.45849	2.58795	3.09771	8.32177	0.92174	0.0012	9.18112	1.96272	1.18099
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6612|s__GGB6612_SGB9346	3.62374	0.0	0.00339	0.0	0.0	0.0071	0.00692	0.0	0.0	0.0	0.0	0.05551	0.0	0.0	0.01118	0.0	0.0	0.0	0.0	1.62777	0.1525	0.0	0.4678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05552	0.0	0.0146	0.0	0.02604	0.0	0.0	0.31552	0.0	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10937	0.0	0.11632	0.0	0.0	0.0	0.0	0.3328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18203	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.16308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	3.44584	1.15401	0.0	1.23374	0.0	5.04899	1.36652	1.92469	0.32558	2.01031	1.76943	0.6189	1.04662	1.74175	1.12063	2.65889	2.99006	4.81903	0.21682	0.3698	0.90102	1.70618	0.63251	0.10776	3.63676	1.69218	1.90109	2.53665	0.0	0.9487	0.20853	1.59507	0.66393	1.4338	0.84694	1.93885	0.43937	0.01372	3.50715	1.28828	0.95284	0.70418	5.18185	1.13435	3.20171	0.61189	1.55418	1.43693	0.92857	0.0	1.99599	0.0	0.80898	2.17587	0.8716	0.44151	0.77003	1.31174	1.97123	1.49629	0.58379	2.83207	1.23192	0.20364	1.98127	5.44981	0.58273	3.56592	0.83411	1.9465	1.41814	0.26506	6.82653	2.57357	1.56234	5.97374	1.82719	1.0953	0.47155	1.55096	1.20209	1.62223	2.44699	1.46841	0.32986	2.67726	1.20325	1.44332	4.97841	4.78069	1.93932	1.26802	2.74836	1.35116	2.56345
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	3.13273	0.04672	0.06094	0.29951	2.87671	2.81081	0.63544	0.02513	1.11793	0.00292	0.4964	0.14258	8.59852	0.48151	0.17158	5.82727	0.32676	0.65159	8.87559	0.69138	0.31341	7.55023	0.90759	0.00753	0.23466	1.11448	1.13591	0.04317	0.04852	16.64028	0.08165	0.19084	2.0066	0.06763	0.73313	1.65288	0.54341	1.36351	0.0	0.27175	0.41158	0.33784	0.00079	0.69194	0.16916	0.58315	0.2241	0.35412	0.12046	0.00683	0.0	0.71213	1.75036	0.0	0.00045	1.27403	13.77112	0.76012	4.14021	1.69665	0.05566	2.11461	0.02208	0.00119	0.0	1.5758	6.36391	2.36216	0.03927	4.83177	0.05136	0.76435	2.57635	0.81117	1.23352	0.0	1.76492	0.05697	0.0	0.10725	4.96862	2.5661	0.06963	1.63587	0.58477	2.69926	0.15127	0.53958	0.0	0.02149	0.55811	3.72429	0.09462	2.1713	0.76078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	2.71538	0.35641	0.0	0.02792	0.10092	0.87009	1.88877	1.30596	0.82531	6.55505	2.22878	1.05753	0.0	0.5564	0.75473	0.0	0.44795	1.6147	0.0	0.33842	3.39902	0.17624	0.37709	0.02671	0.90119	0.5492	0.45265	1.0662	3.7602	0.0	0.39155	0.55308	0.00844	0.3697	0.57082	1.80091	1.85687	2.79557	1.28205	2.44949	3.72811	0.23571	0.38514	0.80215	1.10012	0.33957	1.68384	0.17006	0.38802	0.71498	0.56605	0.0	0.19199	3.72598	3.16689	1.92391	0.0	0.48379	0.10244	0.00209	0.63852	1.00205	0.17523	0.23743	4.33071	0.49617	0.37451	2.73605	0.14221	0.13188	0.1711	0.41727	1.26048	0.19095	0.92415	1.91904	1.43946	1.24773	0.42155	0.80958	0.17845	0.50565	1.64279	0.34547	0.3286	0.0	5.41976	0.13746	1.11929	4.23673	3.40494	0.00029	1.05439	1.77291	0.6912
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806|g__GGB51647|s__GGB51647_SGB4348	2.44252	0.0	0.0	0.22376	1.5228	0.0	1.30368	0.00387	0.0	0.0	0.0	0.0	0.52676	0.0	1.14821	0.0	1.91706	0.0	0.0	0.0	0.0	0.0	0.0	0.3965	0.0	0.0	0.0	3.37637	0.0	0.0	3.09663	0.0	0.0	0.0	0.06808	0.0	0.0	2.18753	0.0	0.61647	0.12449	0.00229	0.0	0.0	0.0	2.32592	0.0	0.03623	5.3174	0.0	4.15377	3.06381	0.0	0.0	0.0	2.62576	0.0	0.0	3.8591	1.25032	0.0	0.82774	0.0	2.94163	0.0	0.91882	2.00132	0.0	0.0	0.88225	0.67014	0.22561	0.0	1.02579	0.0	0.0	6.10561	0.0	0.0	0.0	3.81225	0.49349	3.87697	0.0	0.0	0.0	0.0	1.6099	0.0	4.69724	0.0	0.0	1.93176	1.86187	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans	2.3721	0.00581	0.0	0.0017	0.0	0.0	0.0	1.92132	0.10415	1.66206	0.02916	0.04644	0.0	0.0	0.0	0.0	0.17542	0.02975	0.0	0.0	0.0	1.3548	0.0	0.3159	0.0	0.95497	0.67241	0.0	0.0	0.86091	0.35847	0.16323	0.22494	0.0	0.0	0.26688	0.78146	0.0303	0.0	0.65696	0.44242	0.0	0.41052	0.10321	2.90577	0.02767	0.04958	0.03641	0.44152	0.0	0.0	0.0	0.05492	0.0055	0.51115	0.01204	0.0	2.38157	0.17998	0.21184	0.02258	0.46925	0.0	0.00736	0.0	0.07894	0.19863	0.0	0.57505	0.0	1.33874	0.0	0.37179	0.39573	1.30201	0.0	0.22548	0.0	0.17196	0.0	0.32405	0.57334	0.0	0.4349	0.0	0.3091	0.62359	1.08171	1.27767	1.11003	1.12114	0.0	0.0	2.66693	0.0398
